                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.34006,                0.20026,                  0.903,                0.83039,                 0.7826,                0.83399,                0.41186,                  1.858,                0.90266,                 2.8521,               0.000134,               0.000134,               0.000134
                    122,                0.32848,                0.18303,                0.89755,                0.85004,                0.78341,                0.84344,                0.42529,                  1.836,                0.86795,                 2.8409,             0.00012311,             0.00012311,             0.00012311
                    123,                0.32181,                0.17875,                0.88929,                0.83458,                0.78827,                0.82995,                0.41575,                 1.8701,                0.90553,                 2.9212,             0.00011223,             0.00011223,             0.00011223
                    124,                0.31637,                0.17586,                0.88563,                0.82272,                0.78425,                0.83678,                 0.4251,                  1.825,                0.91966,                 2.8504,             0.00010135,             0.00010135,             0.00010135
                    125,                 0.3099,                0.17406,                0.88631,                0.82074,                 0.7818,                 0.8268,                 0.4187,                 1.8577,                0.92591,                 2.9189,             9.0467e-05,             9.0467e-05,             9.0467e-05
                    126,                0.30893,                0.17079,                 0.8836,                0.83838,                0.78355,                0.83533,                0.42168,                 1.8339,                0.90146,                 2.8533,             7.9584e-05,             7.9584e-05,             7.9584e-05
                    127,                0.30896,                0.17446,                0.88343,                0.84765,                0.76684,                0.83426,                0.42043,                 1.8437,                 0.8909,                 2.9123,             6.8702e-05,             6.8702e-05,             6.8702e-05
                    128,                 0.3047,                0.17002,                0.88187,                 0.8377,                0.76553,                0.82659,                0.41382,                 1.8684,                0.92115,                 2.9426,              5.782e-05,              5.782e-05,              5.782e-05
                    129,                0.30114,                0.16635,                0.87739,                0.83232,                0.77829,                0.82736,                0.41542,                  1.853,                0.91902,                 2.9186,             4.6937e-05,             4.6937e-05,             4.6937e-05
                    130,                0.30099,                0.16755,                0.88179,                0.82135,                0.78098,                0.82765,                0.41534,                 1.8601,                0.91747,                 2.9255,             3.6055e-05,             3.6055e-05,             3.6055e-05
